Latitude (decimal degrees):	41.893
Longitude (decimal degrees):	12.483
Elevation (m):	42
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 90 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,9.12,1.66,0.0
20230101:0110,0.0,0.0,0.0,8.76,1.86,0.0
20230101:0210,0.0,0.0,0.0,8.5,1.79,0.0
20230101:0310,0.0,0.0,0.0,8.3,1.86,0.0
20230101:0410,0.0,0.0,0.0,8.12,2.0,0.0
20230101:0510,0.0,0.0,0.0,7.99,2.07,0.0
20230101:0610,0.0,0.0,0.0,7.88,2.07,0.0
20230101:0710,9.67,22.63,4.21,7.9,2.07,0.0
20230101:0810,31.38,51.59,12.52,9.15,1.93,0.0
20230101:0910,34.1,80.68,19.12,11.78,1.72,0.0
20230101:1010,154.85,236.29,23.47,13.94,1.45,0.0
20230101:1110,280.19,368.61,25.09,15.21,1.31,0.0
20230101:1210,354.12,447.84,23.78,15.64,1.31,0.0
20230101:1310,378.62,472.9,19.7,15.78,1.45,0.0
20230101:1410,327.36,407.22,13.3,15.68,1.66,0.0
20230101:1510,11.08,25.34,5.15,15.16,1.59,0.0
20230101:1610,0.0,0.0,0.0,14.27,1.59,0.0
20230101:1710,0.0,0.0,0.0,13.03,1.45,0.0
20230101:1810,0.0,0.0,0.0,12.44,1.24,0.0
20230101:1910,0.0,0.0,0.0,12.09,1.24,0.0
20230101:2010,0.0,0.0,0.0,10.86,1.59,0.0
20230101:2110,0.0,0.0,0.0,10.26,1.59,0.0
20230101:2210,0.0,0.0,0.0,9.63,1.66,0.0
20230101:2310,0.0,0.0,0.0,8.84,1.86,0.0
20230102:0010,0.0,0.0,0.0,8.28,1.93,0.0
20230102:0110,0.0,0.0,0.0,7.87,1.93,0.0
20230102:0210,0.0,0.0,0.0,7.65,2.0,0.0
20230102:0310,0.0,0.0,0.0,7.51,2.0,0.0
20230102:0410,0.0,0.0,0.0,7.4,2.07,0.0
20230102:0510,0.0,0.0,0.0,7.23,2.07,0.0
20230102:0610,0.0,0.0,0.0,7.35,2.14,0.0
20230102:0710,9.64,22.63,4.21,8.39,2.21,0.0
20230102:0810,56.73,82.36,12.54,9.45,2.14,0.0
20230102:0910,97.86,132.8,19.16,11.58,2.07,0.0
20230102:1010,114.28,152.4,23.53,13.49,1.93,0.0
20230102:1110,141.86,185.4,25.18,14.73,2.21,0.0
20230102:1210,174.55,223.71,23.88,15.38,2.83,0.0
20230102:1310,115.15,153.59,19.81,15.5,3.03,0.0
20230102:1410,138.39,180.29,13.43,15.3,2.83,0.0
20230102:1510,14.25,29.87,5.28,14.78,2.14,0.0
20230102:1610,0.0,0.0,0.0,14.04,2.0,0.0
20230102:1710,0.0,0.0,0.0,13.35,2.07,0.0
20230102:1810,0.0,0.0,0.0,12.58,2.28,0.0
20230102:1910,0.0,0.0,0.0,11.8,2.14,0.0
20230102:2010,0.0,0.0,0.0,11.14,2.21,0.0
20230102:2110,0.0,0.0,0.0,10.42,2.21,0.0
20230102:2210,0.0,0.0,0.0,9.77,2.07,0.0
20230102:2310,0.0,0.0,0.0,9.23,2.0,0.0
20230103:0010,0.0,0.0,0.0,8.96,2.0,0.0
20230103:0110,0.0,0.0,0.0,8.69,2.14,0.0
20230103:0210,0.0,0.0,0.0,8.73,2.14,0.0
20230103:0310,0.0,0.0,0.0,9.04,2.07,0.0
20230103:0410,0.0,0.0,0.0,9.26,2.21,0.0
20230103:0510,0.0,0.0,0.0,9.9,2.34,0.0
20230103:0610,0.0,0.0,0.0,9.76,2.55,0.0
20230103:0710,0.0,3.62,4.21,9.69,2.28,0.0
20230103:0810,57.13,83.27,12.56,10.75,2.21,0.0
20230103:0910,103.82,143.07,19.2,12.4,2.07,0.0
20230103:1010,114.06,152.39,23.6,13.9,2.0,0.0
20230103:1110,181.83,234.05,25.27,14.86,2.21,0.0
20230103:1210,120.22,159.77,23.99,15.27,2.34,0.0
20230103:1310,173.61,222.08,19.94,15.29,2.28,0.0
20230103:1410,145.4,188.68,13.56,15.21,2.14,0.0
20230103:1510,13.61,28.96,5.42,14.78,1.66,0.0
20230103:1610,0.0,0.0,0.0,14.24,1.72,0.0
20230103:1710,0.0,0.0,0.0,13.71,1.86,0.0
20230103:1810,0.0,0.0,0.0,13.2,2.14,0.0
20230103:1910,0.0,0.0,0.0,12.49,1.86,0.0
20230103:2010,0.0,0.0,0.0,11.96,1.72,0.0
20230103:2110,0.0,0.0,0.0,11.31,1.79,0.0
20230103:2210,0.0,0.0,0.0,10.72,1.86,0.0
20230103:2310,0.0,0.0,0.0,10.33,1.86,0.0
20230104:0010,0.0,0.0,0.0,10.13,1.86,0.0
20230104:0110,0.0,0.0,0.0,9.65,1.93,0.0
20230104:0210,0.0,0.0,0.0,9.35,1.93,0.0
20230104:0310,0.0,0.0,0.0,8.95,2.0,0.0
20230104:0410,0.0,0.0,0.0,8.83,2.0,0.0
20230104:0510,0.0,0.0,0.0,8.63,1.93,0.0
20230104:0610,0.0,0.0,0.0,8.36,1.86,0.0
20230104:0710,7.79,19.91,4.22,9.08,1.72,0.0
20230104:0810,37.75,59.73,12.59,10.14,1.38,0.0
20230104:0910,51.41,96.79,19.26,12.26,1.03,0.0
20230104:1010,155.26,237.15,23.68,13.58,0.62,0.0
20230104:1110,277.94,365.36,25.37,14.46,0.69,0.0
20230104:1210,373.68,474.0,24.11,14.99,0.76,0.0
20230104:1310,385.53,482.11,20.07,15.27,1.03,0.0
20230104:1410,350.27,434.22,13.7,15.18,1.66,0.0
20230104:1510,12.36,27.15,5.56,14.59,1.93,0.0
20230104:1610,0.0,0.0,0.0,13.68,1.93,0.0
20230104:1710,0.0,0.0,0.0,12.62,1.59,0.0
20230104:1810,0.0,0.0,0.0,11.85,1.38,0.0
20230104:1910,0.0,0.0,0.0,10.9,2.0,0.0
20230104:2010,0.0,0.0,0.0,10.35,1.93,0.0
20230104:2110,0.0,0.0,0.0,9.82,1.79,0.0
20230104:2210,0.0,0.0,0.0,9.28,1.59,0.0
20230104:2310,0.0,0.0,0.0,8.78,1.45,0.0
20230105:0010,0.0,0.0,0.0,8.45,1.24,0.0
20230105:0110,0.0,0.0,0.0,8.11,1.17,0.0
20230105:0210,0.0,0.0,0.0,7.15,1.24,0.0
20230105:0310,0.0,0.0,0.0,6.65,1.38,0.0
20230105:0410,0.0,0.0,0.0,6.31,1.45,0.0
20230105:0510,0.0,0.0,0.0,6.06,1.52,0.0
20230105:0610,0.0,0.0,0.0,6.0,1.52,0.0
20230105:0710,10.39,23.53,4.24,6.08,1.72,0.0
20230105:0810,58.76,84.17,12.62,7.51,1.45,0.0
20230105:0910,55.79,100.8,19.31,10.56,1.03,0.0
20230105:1010,160.3,212.44,23.76,12.4,0.55,0.0
20230105:1110,139.38,182.62,25.48,13.36,0.07,0.0
20230105:1210,105.04,141.51,24.24,13.87,0.83,0.0
20230105:1310,57.69,85.14,20.21,14.07,1.38,0.0
20230105:1410,66.37,95.47,13.85,14.0,1.45,0.0
20230105:1510,16.93,33.49,5.7,13.65,1.24,0.0
20230105:1610,0.0,0.0,0.0,13.07,1.17,0.0
20230105:1710,0.0,0.0,0.0,12.25,0.97,0.0
20230105:1810,0.0,0.0,0.0,12.43,0.69,0.0
20230105:1910,0.0,0.0,0.0,12.23,0.69,0.0
20230105:2010,0.0,0.0,0.0,11.88,0.76,0.0
20230105:2110,0.0,0.0,0.0,10.53,1.1,0.0
20230105:2210,0.0,0.0,0.0,10.04,1.1,0.0
20230105:2310,0.0,0.0,0.0,9.27,1.1,0.0
20230106:0010,0.0,0.0,0.0,8.96,1.03,0.0
20230106:0110,0.0,0.0,0.0,8.87,1.03,0.0
20230106:0210,0.0,0.0,0.0,9.17,1.1,0.0
20230106:0310,0.0,0.0,0.0,9.43,1.24,0.0
20230106:0410,0.0,0.0,0.0,9.48,1.45,0.0
20230106:0510,0.0,0.0,0.0,9.37,1.79,0.0
20230106:0610,0.0,0.0,0.0,9.49,1.93,0.0
20230106:0710,8.99,21.72,4.26,9.1,2.0,0.0
20230106:0810,60.5,86.89,12.67,9.55,1.86,0.0
20230106:0910,103.43,143.24,19.38,11.54,1.66,0.0
20230106:1010,88.16,121.09,23.85,13.27,1.45,0.0
20230106:1110,117.67,156.69,25.59,14.3,1.17,0.0
20230106:1210,177.04,227.21,24.37,14.79,1.24,0.0
20230106:1310,140.21,183.02,20.35,15.01,1.72,0.0
20230106:1410,29.36,50.14,14.0,14.78,1.86,0.0
20230106:1510,15.57,31.68,5.86,14.31,1.52,0.0
20230106:1610,0.0,0.0,0.0,13.74,1.31,0.0
20230106:1710,0.0,0.0,0.0,12.73,1.1,0.0
20230106:1810,0.0,0.0,0.0,12.59,0.9,0.0
20230106:1910,0.0,0.0,0.0,11.93,1.03,0.0
20230106:2010,0.0,0.0,0.0,11.26,1.31,0.0
20230106:2110,0.0,0.0,0.0,10.92,1.31,0.0
20230106:2210,0.0,0.0,0.0,10.46,1.38,0.0
20230106:2310,0.0,0.0,0.0,10.12,1.31,0.0
20230107:0010,0.0,0.0,0.0,9.73,1.38,0.0
20230107:0110,0.0,0.0,0.0,9.18,1.38,0.0
20230107:0210,0.0,0.0,0.0,8.82,1.45,0.0
20230107:0310,0.0,0.0,0.0,8.52,1.52,0.0
20230107:0410,0.0,0.0,0.0,8.61,1.45,0.0
20230107:0510,0.0,0.0,0.0,8.72,1.45,0.0
20230107:0610,0.0,0.0,0.0,9.24,1.45,0.0
20230107:0710,10.23,23.53,4.29,8.83,1.59,0.0
20230107:0810,59.62,85.98,12.72,9.76,1.24,0.0
20230107:0910,98.04,133.7,19.45,12.39,1.03,0.0
20230107:1010,97.13,131.98,23.95,13.39,0.9,0.0
20230107:1110,134.87,177.07,25.71,13.95,0.9,0.0
20230107:1210,134.88,176.93,24.51,14.32,1.03,0.0
20230107:1310,69.4,99.33,20.51,14.26,1.17,0.0
20230107:1410,51.9,78.17,14.15,14.18,0.97,0.0
